,키워드,"PC
 검색량","MB
 검색량","전체
 검색량",속성,"지식인
글개수
","카페
 글개수","인플
 글개수","블로그
 글개수",1탭,2탭,3탭,4탭,5탭,6탭,7탭,8탭,9탭,10탭,접촉지점,"탭순서
갱신일",파워링크,브랜드컨텐츠,가격비교,네플스,클립,,관련문서,,,,,,,,,,인기글7,,인기글3,,스마트블록,뉴스,,웹문서,,동영상,,이미지,확인일,자리상단하단
1600,여자왼쪽골반통증,370,"5,680","6,050",-,3,9,3,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,여자가좋아하는남자향수,320,"2,310","2,630",-,0,2,1,11,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,패션·미용 브랜드 콘텐츠,네이버 클립,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,여자14K목걸이,40,350,390,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,여성호르몬영양제,620,"4,640","5,260",-,0,1,0,4,파워링크,네이버 쇼핑 인기 상품,웹문서,네이버 클립,함께 많이 찾는,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,건강·의학 인기글,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,여성갱년기영양제,500,"1,660","2,160",-,0,3,1,1,파워링크,네이버 클립,건강 주제 네이버 메이트,네이버 쇼핑 인기 상품,웹문서,인플루언서서비스 홈 바로가기,함께 많이 찾는,건강·의학 인기글,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,여름의자방석,160,290,450,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,여름용토퍼,50,190,240,-,0,0,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,에스트로겐,"1,490","10,400","11,890",-,0,5,0,5,파워링크,AI 브리핑,건강 소식,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인플루언서서비스 홈 바로가기,관련문서,건강·의학 브랜드 콘텐츠,이미지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,에스컬레이터,"1,410","5,580","6,990",-,0,2,0,7,파워링크,관련문서,네이버 클립,어학사전다른 어학정보 23,어학사전,이미지,뉴스,에스컬레이터,함께 많이 찾는,관련문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,에르고바디벨트,10,100,110,-,1,4,1,11,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,파워링크,이미지,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,에그젤베개,660,"3,580","4,240",-,0,1,0,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,에고이스트,"3,840","30,800","34,640",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,에고이스트,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,엉치통증,170,"1,330","1,500",-,3,5,3,5,파워링크,브랜드 콘텐츠,관련문서,네이버 클립,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,엉치뼈통증,410,"4,660","5,070",-,2,5,2,7,파워링크,AI 브리핑,브랜드 콘텐츠,네이버 클립,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,엉덩이쿠션,190,720,910,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,엉덩이보호대,130,480,610,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,엉덩이방석,360,"1,280","1,640",-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,엉덩이마사지기,80,400,480,-,0,1,0,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,육아·결혼 인기글,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,엉덩이꼬리뼈통증,110,920,"1,030",-,2,6,2,6,AI 브리핑,네이버 가격비교,네이버플러스 스토어,건강 주제 네이버 메이트,네이버 클립,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,엄지손가락마디통증,520,"2,380","2,900",-,1,10,1,5,파워링크,건강 주제 네이버 메이트,브랜드 콘텐츠,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,엄지발가락휨,130,"1,600","1,730",-,3,3,3,9,파워링크,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,엄마옷브랜드,490,"1,250","1,740",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,인플루언서서비스 홈 바로가기,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,엄마옷,"3,060","5,800","8,860",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,엄마선물,330,"1,340","1,670",-,0,4,2,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,뷰티 주제 네이버 메이트,네이버 클립,육아·결혼 인기글,웹문서,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,엄마생일선물추천,70,290,360,-,3,6,3,7,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,육아 주제 네이버 메이트,관련문서,뉴스,관련문서,이미지,웹문서,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,엄마생일선물50대,140,960,"1,100",-,0,4,0,5,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,네이버 클립,웹문서,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,엄마생일선물,710,"6,230","6,940",-,0,5,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,패션·미용 인기글,지식iN,웹문서,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,엄마목걸이,30,200,230,-,0,5,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,패션·미용 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,엄마금목걸이,10,120,130,-,0,6,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,언어장애,280,810,"1,090",-,2,13,2,4,파워링크,AI 브리핑,함께 찾는 질병,관련 경험 카페글,네이버 클립,언어장애' 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,어지럼증명의,20,230,250,-,3,4,3,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,뉴스,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,어지럼증,"1,310","7,950","9,260",-,2,11,2,6,파워링크,AI 브리핑,건강 소식,함께 찾는 질병,관련 경험 카페글,네이버 클립,어지럼증' 브랜드 콘텐츠,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,어버이날선물,140,300,440,-,0,2,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,인플루언서서비스 홈 바로가기,인기글,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,어버이날,"1,220","4,270","5,490",-,1,2,1,6,어버이날,관련문서,브랜드 콘텐츠,파워링크,네이버 클립,네이버플러스 스토어,선물샵,이미지,뉴스,어학사전다른 어학정보 13,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,어머님선물,50,270,320,-,0,6,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,육아·결혼 인기글,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,어머님생신선물,150,"1,070","1,220",-,0,6,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,패션·미용 인기글,이미지,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,어머니선물,90,380,470,-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,패션·미용 인기글,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,어린이방석,40,180,220,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,어린이무릎보호대,80,760,840,-,0,4,0,7,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,관련문서,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,어른선물추천,70,450,520,-,0,6,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,이미지,육아·결혼 인기글,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,어르신옷,50,240,290,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,어르신영양제,60,360,420,-,0,4,1,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,건강·의학 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,어르신선물추천,110,530,640,-,0,6,1,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,이미지,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,어르신무릎보호대,80,250,330,-,0,4,0,9,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,어깨MRI,170,520,690,-,3,7,3,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,어깨,"1,640","6,970","8,610",-,0,4,0,7,파워링크,AI 브리핑,네이버 가격비교,네이버플러스 스토어,네이버 클립,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,양한방병원,60,310,370,-,0,3,0,2,파워링크,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,양천구한의원,230,720,950,-,2,5,2,6,파워링크,함께 많이 찾는,관련문서,뉴스,웹문서,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,양천구정형외과,200,440,640,-,3,3,3,4,파워링크,함께 많이 찾는,관련문서,웹문서,,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,양쪽어깨보호대,10,130,140,-,0,2,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,양주재활병원,110,160,270,-,1,4,1,5,파워링크,관련문서,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,양재정형외과,250,720,970,-,1,3,1,4,파워링크,네이버 클립,뉴스,함께 많이 찾는,관련문서,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,양재역정형외과,940,"2,640","3,580",-,0,1,0,6,파워링크,함께 많이 찾는,건강·의학 인기글,웹문서,,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,양재동정형외과,100,220,320,-,1,4,1,7,파워링크,관련문서,함께 많이 찾는,관련문서,웹문서,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,양산통증의학과,70,540,610,-,1,3,1,4,파워링크,함께 많이 찾는,관련문서,뉴스,웹문서,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,양산정형외과,400,"2,960","3,360",-,0,5,0,6,파워링크,관련문서,건강·의학 브랜드 콘텐츠,함께 많이 찾는,관련문서,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,양산재활의학과,10,100,110,-,1,4,1,4,파워링크,관련문서,뉴스,함께 많이 찾는,관련문서,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,양산재활병원,30,180,210,-,2,5,2,4,파워링크,관련문서,브랜드 콘텐츠,뉴스,함께 많이 찾는,관련문서,최신 콘텐츠노출기준,이미지,웹문서,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,양방향척추내시경수술,50,70,120,-,1,5,1,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,함께 많이 찾는,관련문서,이미지,뉴스,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,양반다리의자,60,100,160,-,0,3,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강·의학 인기글,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,양면매트리스,30,80,110,-,0,1,0,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,약혼자,320,490,810,-,0,1,2,6,AI 브리핑,어학사전다른 어학정보 19,어학사전,네이버 클립,뉴스,함께 많이 찾는,인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,약통케이스,550,"3,060","3,610",-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,네이버 클립,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,약국허리보호대,70,620,690,-,0,3,0,5,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,야만,380,"2,880","3,260",-,2,5,2,6,파워링크,관련문서,어학사전다른 어학정보 20,어학사전,네이버 클립,증권,이미지,뉴스,함께 많이 찾는,관련문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,야구장방석,90,360,450,-,0,1,0,6,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,스포츠 인기글,파워링크,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,야간한의원,40,520,560,-,2,6,2,4,파워링크,관련문서,브랜드 콘텐츠,함께 많이 찾는,관련문서,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,압박속옷,10,110,120,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,압박골절,390,"1,200","1,590",-,3,11,3,6,파워링크,AI 브리핑,건강 소식,지식iN 의사 답변,함께 찾는 질병,관련 경험 카페글,압박골절' 브랜드 콘텐츠,네이버 가격비교,네이버플러스 스토어,이미지,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,압박,360,"1,510","1,870",-,1,1,1,6,파워링크,AI 브리핑,관련문서,네이버 클립,어학사전다른 어학정보 30,어학사전,네이버 가격비교,네이버플러스 스토어,뉴스,이미지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,압구정역정형외과,50,130,180,-,1,5,1,6,파워링크,관련문서,함께 많이 찾는,관련문서,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,안전가드침대,10,120,130,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,안양병원,170,710,880,-,1,5,1,5,파워링크,뉴스,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,안산허리디스크,80,90,170,-,2,4,2,6,파워링크,관련문서,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,안산정형외과,770,"2,600","3,370",-,0,3,0,6,파워링크,관련문서,함께 많이 찾는,관련문서,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,안산요가,130,550,680,-,0,2,0,6,파워링크,함께 많이 찾는,인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,안마배게,20,110,130,-,0,0,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,안마기추천,190,"2,170","2,360",-,0,3,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,안마기브랜드,60,660,720,-,0,5,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,안마기렌탈,170,"1,540","1,710",-,0,2,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,인플루언서서비스 홈 바로가기,상품리뷰 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,아치신발,160,"1,200","1,360",-,0,5,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,네이버 클립,함께 많이 찾는,패션·미용 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,아산한의원,570,"1,240","1,810",-,2,5,2,4,파워링크,관련문서,함께 많이 찾는,관련문서,최신 콘텐츠노출기준,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,아산한방병원,200,280,480,-,1,5,1,6,파워링크,함께 많이 찾는,관련문서,뉴스,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,아산정형외과,710,"3,490","4,200",-,0,4,0,3,파워링크,함께 많이 찾는,관련문서,웹문서,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,아산재활병원,80,220,300,-,3,5,3,7,파워링크,관련문서,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,아산신경외과,170,840,"1,010",-,2,4,2,5,파워링크,관련문서,뉴스,함께 많이 찾는,관련문서,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,아산센텀정형외과,30,220,250,-,0,2,0,3,관련문서,함께 많이 찾는,관련문서,웹문서,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,아산도수치료,30,100,130,-,0,5,0,4,파워링크,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,아빠환갑선물,340,"1,390","1,730",-,0,2,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,인기글,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,아빠선물,210,"1,130","1,340",-,0,5,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,상품리뷰 인기글,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,아빠생일선물,490,"6,150","6,640",-,0,4,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,상품리뷰 인기글,지식iN,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,아빠생신선물60대,40,190,230,-,3,7,3,6,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,관련문서,파워링크,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,아빠생신선물,240,"1,230","1,470",-,0,3,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,아버지환갑선물,90,270,360,-,2,9,2,6,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,아버지칠순선물,80,200,280,-,3,7,5,5,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,뉴스,관련문서,이미지,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,아버지선물,110,310,420,-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,상품리뷰 인기글,이미지,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,아버지생신선물,330,"1,730","2,060",-,0,4,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,아버님생신선물,190,"1,240","1,430",-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,아바스틴,330,900,"1,230",-,1,5,1,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,아랫배허리통증원인,5,100,105,-,8,5,8,0,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,아디다스삼바,"3,940","37,200","41,140",-,0,1,0,6,파워링크,네이버 가격비교,네이버플러스 스토어,네이버 클립,함께 많이 찾는,패션·미용 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,아들생일선물,30,190,220,-,0,5,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,육아·결혼 인기글,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,아내선물,90,230,320,-,0,6,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,육아·결혼 인기글,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,아내생일이벤트,30,130,160,-,0,4,0,6,파워링크,네이버 가격비교,네이버플러스 스토어,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,아기화환,280,"1,620","1,900",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,아기엄마선물,130,560,690,-,0,4,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,육아·결혼 인기글,네이버 클립,지식iN,이미지,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,쓸개담석,260,"3,090","3,350",-,2,2,2,5,파워링크,인플루언서서비스 홈 바로가기,건강 주제 네이버 메이트,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,쓰리에이치침대,40,830,870,-,0,3,0,5,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,쓰리에이치지압침대,20,380,400,-,0,5,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,쑥뜸기,320,"1,840","2,160",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인플루언서서비스 홈 바로가기,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,쌍용동한의원,360,430,790,-,0,2,0,6,파워링크,함께 많이 찾는,건강·의학 인기글,웹문서,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,싱글침대매트리스,180,"1,000","1,180",-,0,3,0,1,네이버 가격비교,네이버플러스 스토어,파워링크,함께 많이 찾는,지금 볼만한 브랜드,인테리어·DIY 인기글,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,심장두근거림,640,"8,480","9,120",-,2,4,2,7,파워링크,인플루언서서비스 홈 바로가기,건강 주제 네이버 메이트,네이버 클립,건강·의학 브랜드 콘텐츠,관련문서,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,실리콘쿨방석,20,180,200,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,실리콘쿠션,40,180,220,-,0,0,0,0,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,파워링크,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,실내자전거매트,160,650,810,-,2,4,2,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
